image_top_1	new_class
408.0	платье
409.0	платье
410.0	платье
411.0	платье
412.0	ветровка
413.0	рубашка
414.0	рубашка
415.0	блузка
416.0	купальник
417.0	купальник
418.0	туфли
419.0	кеды
420.0	босоножки
421.0	ботильоны
422.0	ботинки
423.0	кроссовки
424.0	сапоги
425.0	туфли
426.0	слипоны
427.0	угги
428.0	угги
429.0	ботинки
430.0	туфли
431.0	туфли
432.0	туфли
433.0	туфли
434.0	туфли
435.0	туфли
436.0	ботинки
437.0	босоножки
438.0	ботинки
439.0	пинетки
440.0	босоножки
441.0	мокасины
442.0	кроссовки
443.0	кроссовки
444.0	ботинки
445.0	туфли
446.0	сапоги
447.0	кроссовки
448.0	кроссовки
449.0	сапоги
450.0	туфли
451.0	кроссовки
452.0	кроссовки
453.0	балетки
454.0	кроссовки
455.0	кроссовки
456.0	кроссовки
457.0	кроссовки
458.0	ботинки
459.0	кроссовки
460.0	кроссовки
461.0	кроссовки
462.0	кроссовки
463.0	кроссовки
464.0	кроссовки
465.0	сланцы
466.0	кроссовки
467.0	кроссовки
468.0	кроссовки
469.0	кроссовки
470.0	кроссовки
471.0	ботинки
472.0	adidas
473.0	кроссовки
474.0	кроссовки
475.0	кроссовки
476.0	кеды
477.0	кроссовки
478.0	кроссовки
479.0	кроссовки
480.0	кроссовки
481.0	кроссовки
482.0	сланцы
483.0	кроссовки
484.0	кроссовки
485.0	кеды
486.0	кроссовки
487.0	кроссовки
488.0	ботинки
489.0	сапоги
490.0	сапоги
491.0	сапоги
492.0	сапоги
493.0	сапоги
494.0	сапоги
495.0	сапоги
496.0	балетки
497.0	босоножки
498.0	кеды
499.0	сапоги
500.0	сапожки
501.0	ботильоны
502.0	босоножки
503.0	сапоги
504.0	босоножки
505.0	босоножки
506.0	дубленка
507.0	куртка
508.0	плащ
509.0	куртка
510.0	куртка
511.0	куртка
512.0	куртка
513.0	куртка
514.0	плащ
515.0	куртка
516.0	пальто
517.0	пальто
518.0	пальто
519.0	пальто
520.0	пальто
521.0	пальто
522.0	пальто
523.0	пальто
524.0	пальто
525.0	пальто
526.0	пальто
527.0	куртка
528.0	куртка
529.0	куртка
530.0	плащ
531.0	жилетка
532.0	пальто
533.0	платье
534.0	жилетка
535.0	плащ
536.0	дубленка
537.0	жилетка
538.0	шуба
539.0	куртка
540.0	куртка
541.0	плащ
542.0	пальто
543.0	куртка
544.0	шуба
545.0	куртка
546.0	платье
547.0	корсет
548.0	юбка
549.0	чулки
550.0	трусики
551.0	белье
552.0	бюстгальтер
553.0	боди
554.0	комплект
555.0	платье
556.0	колготки
557.0	платье
558.0	шубка
559.0	платье
560.0	платье
561.0	платье
562.0	пиджак
563.0	пиджак
564.0	платье
565.0	костюм
566.0	костюм
567.0	джинсы
568.0	кофта
569.0	кардиган
570.0	пальто
571.0	водолазка
572.0	платье
573.0	кофта
574.0	кофта
575.0	свитер
576.0	жилет
577.0	костюм
578.0	вечерний
579.0	брюки
580.0	джинсы
581.0	брюки
582.0	комбинезон
583.0	брюки
584.0	брюки
585.0	брюки
586.0	джинсы
587.0	джинсы
588.0	брюки
589.0	джинсы
590.0	болеро
591.0	комбинезон
592.0	комбинезон
593.0	платье
594.0	crocs
595.0	платье
596.0	платье
597.0	футболка
598.0	футболка
599.0	кардиган
600.0	кофта
601.0	куртка
602.0	пальто
603.0	платье
604.0	платье
605.0	халат
606.0	бандаж
607.0	шорты
608.0	брюки
609.0	шорты
610.0	юбка
611.0	шорты
612.0	шорты
613.0	шорты
614.0	брюки
615.0	шорты
616.0	шорты
617.0	носки
618.0	платье
619.0	блузка
620.0	платье
621.0	поло
622.0	футболка
623.0	футболка
624.0	футболка
625.0	свитер
626.0	кофта
627.0	футболка
628.0	толстовка
629.0	кофта
630.0	свитер
631.0	свитер
632.0	футболка
633.0	кофта
634.0	поло
635.0	рубашка
636.0	туфли
637.0	кеды
638.0	кроссовки
639.0	туфли
640.0	бутсы
641.0	ботинки
642.0	сапоги
643.0	мокасины
644.0	ботинки
645.0	куртка
646.0	куртка
647.0	костюм
648.0	куртка
649.0	куртка
650.0	плащ
651.0	дубленка
652.0	пальто
653.0	пальто
654.0	пальто
655.0	пальто
656.0	костюм
657.0	костюм
658.0	джинсы
659.0	брюки
660.0	брюки
661.0	брюки
662.0	джинсы
663.0	куртка
664.0	костюм
665.0	костюм
666.0	костюм
667.0	жилетка
668.0	трусы
669.0	форма
670.0	куртка
671.0	шорты
672.0	форма
673.0	костюм
674.0	костюм
675.0	костюм
676.0	форма
677.0	платье
678.0	халат
679.0	носки
680.0	парик
681.0	расческа
682.0	волосы
683.0	волос
684.0	бигуди
685.0	ножницы
686.0	волос
687.0	волосы
688.0	шампунь
689.0	похудения
690.0	аппарат
691.0	бритва
692.0	кресло
693.0	гантели
694.0	фотоэпилятор
695.0	концентратор
696.0	матрас
697.0	ходунки
698.0	волос
699.0	ортез
700.0	воротник
701.0	пилка
702.0	аппарат
703.0	ингалятор
704.0	фрейка
705.0	очки
706.0	подушка
707.0	бигуди
708.0	бандаж
709.0	глюкометр
710.0	бандаж
711.0	полоски
712.0	машинка
713.0	кейс
714.0	ножницы
715.0	кенгуру
716.0	лица
717.0	бандаж
718.0	ног
719.0	маникюра
720.0	набор
721.0	накидка
722.0	бандаж
723.0	солярий
724.0	стол
725.0	бандаж
726.0	тонометр
727.0	аппарат
728.0	кровать
729.0	пилка
730.0	набор
731.0	осанки
732.0	бандаж
733.0	стерилизатор
734.0	трость
735.0	пояс
736.0	мат
737.0	лампа
738.0	корсет
739.0	gillette
740.0	костыли
741.0	пилка
742.0	коврик
743.0	массажер
744.0	шина
745.0	корсет
746.0	коляска
747.0	массажер
748.0	воскоплав
749.0	ортез
750.0	термометр
751.0	массажер
752.0	мочалки
753.0	паста
754.0	мыло
755.0	душа
756.0	зубная
757.0	маска
758.0	мыло
759.0	ирригатор
760.0	мыло
761.0	прокладки
762.0	калоприемники
763.0	маска
764.0	продам
765.0	кассеты
766.0	пеленки
767.0	взрослых
768.0	вода
769.0	вода
770.0	духи
771.0	вода
772.0	духи
773.0	губ
774.0	помада
775.0	крем
776.0	карандаш
777.0	помада
778.0	маникюр
779.0	тушь
780.0	румяна
781.0	палетка
782.0	тени
783.0	лак
784.0	набор
785.0	крем
786.0	тени
787.0	ресниц
788.0	крем
789.0	губ
790.0	пудра
791.0	набор
792.0	масло
793.0	маска
794.0	крем
795.0	гель
796.0	автокресло
797.0	весы
798.0	смесь
799.0	каша
800.0	стерилизатор
801.0	смесь
802.0	подогреватель
803.0	накладки
804.0	avent
805.0	соски
806.0	пюре
807.0	бутылочки
808.0	подогреватель
809.0	поильник
810.0	подушка
811.0	кормления
812.0	стерилизатор
813.0	молокоотсос
814.0	ниблер
815.0	молокоотсос
816.0	горшок
817.0	кормления
818.0	доска
819.0	кровать
820.0	унитаз
821.0	шезлонг
822.0	настройка
823.0	детская
824.0	стол
825.0	комод
826.0	манеж
827.0	качели
828.0	беговел
829.0	велосипед
830.0	самокат
831.0	игрушка
832.0	меч
833.0	коврик
834.0	шары
835.0	мяч
836.0	nerf
837.0	мотоцикл
838.0	неокуб
839.0	кран
840.0	кухня
841.0	игрушка
842.0	машина
843.0	песок
844.0	динозавр
845.0	палатка
846.0	кукла
847.0	маша
848.0	набор
849.0	прыгун
850.0	кубики
851.0	слингобусы
852.0	пирамидка
853.0	ходунки
854.0	улитка
855.0	конструктор
856.0	трактор
857.0	крокодил
858.0	игрушек
859.0	замок
860.0	качалка
861.0	батут
862.0	коляска
863.0	pet
864.0	игра
865.0	ниндзя
866.0	танк
867.0	игровая
868.0	грузовик
869.0	пистолет
870.0	неваляшка
871.0	дед
872.0	юла
873.0	кукла
874.0	беговел
875.0	хай
876.0	азбука
877.0	медведь
878.0	лабиринт
879.0	хомяк
880.0	набор
881.0	игрушки
882.0	коврик
883.0	участок
884.0	спиннер
885.0	дорога
886.0	игрушка
887.0	катер
888.0	каталка
889.0	робот
890.0	паровозик
891.0	электромобиль
892.0	игрушка
893.0	игрушки
894.0	конструктор
895.0	lego
896.0	lego
897.0	lego
898.0	lego
899.0	лего
900.0	lego
901.0	lego
902.0	lego
903.0	плакат
904.0	игровой
905.0	укрытие
906.0	набор
907.0	пазлы
908.0	винни
909.0	lego
910.0	дск
911.0	радионяня
912.0	игрушка
913.0	игрушки
914.0	центр
915.0	игрушка
916.0	домик
917.0	игрушка
918.0	миньон
919.0	машинки
920.0	горка
921.0	корабль
922.0	песочница
923.0	черепаха
924.0	автобус
925.0	тоннель
926.0	панда
927.0	кукла
928.0	пианино
929.0	игрушки
930.0	игрушки
931.0	человек
932.0	номерам
933.0	солдатики
934.0	hello
935.0	качалка
936.0	вертолет
937.0	заяц
938.0	мишка
939.0	sylvanian
940.0	игрушки
941.0	робокар
942.0	железная
943.0	бизиборд
944.0	коврик
945.0	кукла
946.0	планшет
947.0	развивающий
948.0	ваз
949.0	квадрокоптер
950.0	конструктор
951.0	мобиль
952.0	лошадка
953.0	тигр
954.0	экскаватор
955.0	кукла
956.0	бассейна
957.0	кукла
958.0	игрушка
959.0	игрушки
960.0	мобиль
961.0	слон
962.0	медведь
963.0	каталка
964.0	новая
965.0	парковка
966.0	летающая
967.0	ферби
968.0	прыгунки
969.0	машина
970.0	коврик
971.0	синтезатор
972.0	хай
973.0	ручной
974.0	компьютер
975.0	игрушки
976.0	авто
977.0	самолёт
978.0	брелок
979.0	домик
980.0	развивающий
981.0	игрушка
982.0	кукла
983.0	цифра
984.0	пони
985.0	игрушка
986.0	конструктор
987.0	квадроцикл
988.0	плетения
989.0	кукла
990.0	телефон
991.0	машина
992.0	гитара
993.0	зебра
994.0	барби
995.0	развивающий
996.0	angry
997.0	руль
998.0	щенячий
999.0	переноска
1000.0	слинг
1001.0	велосипед
1002.0	коляска
1003.0	кенгуру
1004.0	санки
1005.0	эргорюкзак
1006.0	пеленки
1007.0	торт
1008.0	кокон
1009.0	подушка
1010.0	плед
1011.0	ползунки
1012.0	квартира,
1013.0	подгузники
1014.0	позиционер
1015.0	кроватку
1016.0	выписку
1017.0	ванночка
1018.0	подгузники
1019.0	ванночка
1020.0	круг
1021.0	трусики
1022.0	купания
1023.0	нарукавники
1024.0	шапочка
1025.0	жилет
1026.0	аспиратор
1027.0	купания
1028.0	ванночка
1029.0	бассейн
1030.0	купания
1031.0	папка
1032.0	тубус
1033.0	книга
1034.0	карандаши
1035.0	класс
1036.0	рюкзак
1037.0	букварь
1038.0	участок
1039.0	торговое
1040.0	класс
1041.0	краски
1042.0	доска
1043.0	папка
1044.0	рюкзак
1045.0	набор
1046.0	ручка
1047.0	мольберт
1048.0	рюкзак
1049.0	пенал
1050.0	класс
1051.0	глобус
1052.0	книги
1053.0	погрузчик
1054.0	услуги
1055.0	газ
1056.0	камаз
1057.0	маз
1058.0	погрузчик
1059.0	жатка
1060.0	трактор
1061.0	грабли
1062.0	комбайн
1063.0	картофелекопалка
1064.0	участок
1065.0	опрыскиватель
1066.0	удобрений
1067.0	прицеп
1068.0	плуг
1069.0	культиватор
1070.0	борона
1071.0	картофелесажалка
1072.0	сеялка
1073.0	трактор
1074.0	косилка
1075.0	почвофреза
1076.0	пресс
1077.0	камаз
1078.0	квартира,
1079.0	экскаватор
1080.0	полуприцеп
1081.0	бульдозер
1082.0	автобус
1083.0	бетон
1084.0	газ
1085.0	пульт
1086.0	помещение,
1087.0	ваз
1088.0	участок
1089.0	л
1090.0	динамики
1091.0	набор
1092.0	контейнер
1093.0	мотор
1094.0	двигатель
1095.0	квартира,
1096.0	торговое
1097.0	ремонт
1098.0	ремонт
1099.0	ваз
1100.0	гантели
1101.0	полировка
1102.0	lada
1103.0	токарный
1104.0	ваз
1105.0	ваз
1106.0	ваз
1107.0	участок
1108.0	ваз
1109.0	насос
1110.0	продам
1111.0	продам
1112.0	ваз
1113.0	ваз
1114.0	ваз
1115.0	ваз
1116.0	cisco
1117.0	ваз
1118.0	toyota
1119.0	планшет
1120.0	перчатки
1121.0	куртка
1122.0	черепаха
1123.0	очки
1124.0	комбинезон
1125.0	ботинки
1126.0	шлем
1127.0	спины
1128.0	щитки
1129.0	визор
1130.0	брюки
1131.0	прицеп
1132.0	ваз
1133.0	автокресло
1134.0	мотоцикл
1135.0	honda
1136.0	мотоцикл
1137.0	honda
1138.0	мотоцикл
1139.0	скутер
1140.0	коляска
1141.0	снегоход
1142.0	уаз
1143.0	ваз
1144.0	гидроцикл
1145.0	участок
1146.0	участке
1147.0	лодка
1148.0	лодка
1149.0	катер
1150.0	заказ
1151.0	участок
1152.0	рыба
1153.0	сыр
1154.0	яйцо
1155.0	домашние
1156.0	участок
1157.0	куличи
1158.0	кофе
1159.0	заказ
1160.0	пряники
1161.0	раки
1162.0	икра
1163.0	помещение
1164.0	картофель
1165.0	участке
1166.0	молоко
1167.0	масло
1168.0	участок
1169.0	шоколад
1170.0	мясо
1171.0	рассада
1172.0	участок
1173.0	варенье
1174.0	огурцы
1175.0	сухой
1176.0	комбикорм
1177.0	помещение,
1178.0	лук
1179.0	чай
1180.0	заказ
1181.0	орех
1182.0	яйцо
1183.0	конфеты
1184.0	грибы
1185.0	вяленое
1186.0	орех
1187.0	саженцы
1188.0	смесь
1189.0	тыква
1190.0	участок
1191.0	квартира,
1192.0	станок
1193.0	печь
1194.0	пушка
1195.0	труба
1196.0	колонка
1197.0	котел
1198.0	чугунные
1199.0	печь
1200.0	радиатор
1201.0	обогреватель
1202.0	квартира,
1203.0	дрова
1204.0	пушка
1205.0	пол
1206.0	камин
1207.0	навоз
1208.0	газовый
1209.0	пушка
1210.0	терморегулятор
1211.0	резак
1212.0	лестница
1213.0	пила
1214.0	таль
1215.0	станок
1216.0	электроды
1217.0	электродвигатель
1218.0	цифровой
1219.0	маска
1220.0	паяльник
1221.0	патрон
1222.0	бетономешалка
1223.0	зарядное
1224.0	мотобур
1225.0	пушка
1226.0	сварочный
1227.0	канистра
1228.0	ремонт
1229.0	краскопульт
1230.0	дрель
1231.0	болгарка
1232.0	набор
1233.0	плиткорез
1234.0	машина
1235.0	насос
1236.0	производство
1237.0	сварочный
1238.0	станок
1239.0	отбойный
1240.0	рубанок
1241.0	ножницы
1242.0	баллон
1243.0	бензопила
1244.0	компрессор
1245.0	перфоратор
1246.0	удлинитель
1247.0	дрель
1248.0	тележка
1249.0	стабилизатор
1250.0	стремянка
1251.0	виброплита
1252.0	генератор
1253.0	теодолит
1254.0	изоспан
1255.0	лобзик
1256.0	держатель
1257.0	пластиковые
1258.0	сверла
1259.0	штангенциркуль
1260.0	штроборез
1261.0	станок
1262.0	топор
1263.0	диск
1264.0	лазерный
1265.0	набор
1266.0	шуруповерт
1267.0	генератор
1268.0	пила
1269.0	мультиметр
1270.0	дальномер
1271.0	мм
1272.0	тиски
1273.0	пистолет
1274.0	ящики
1275.0	домкрат
1276.0	м
1277.0	пила
1278.0	клещи
1279.0	шуруповерт
1280.0	станок
1281.0	шифер
1282.0	участке
1283.0	х
1284.0	участке
1285.0	участке
1286.0	клей
1287.0	квартира,
1288.0	участке
1289.0	поддоны
1290.0	квартира,
1291.0	участок
1292.0	лист
1293.0	краска
1294.0	х
1295.0	участке
1296.0	участке
1297.0	участок
1298.0	мешки
1299.0	выключатель
1300.0	участке
1301.0	сетка
1302.0	участке
1303.0	труба
1304.0	плитка
1305.0	участок
1306.0	рубероид
1307.0	кабель
1308.0	участке
1309.0	участке
1310.0	продам
1311.0	щебень
1312.0	электрик
1313.0	х
1314.0	кольца
1315.0	квартира,
1316.0	пена
1317.0	участок
1318.0	участке
1319.0	арматура
1320.0	участке
1321.0	участке
1322.0	розетка
1323.0	участке
1324.0	дом
1325.0	участок
1326.0	обои
1327.0	утеплитель
1328.0	х
1329.0	квартира,
1330.0	штукатурка
1331.0	саморезы
1332.0	х
1333.0	пиццы
1334.0	участок
1335.0	кирпич
1336.0	создание
1337.0	участке
1338.0	участке
1339.0	ламинат
1340.0	мм
1341.0	лопата
1342.0	триммер
1343.0	грабли
1344.0	еврокуб
1345.0	квартира,
1346.0	мотоблок
1347.0	снегоуборщик
1348.0	тележка
1349.0	участке
1350.0	газонокосилка
1351.0	емкость
1352.0	насос
1353.0	станция
1354.0	насос
1355.0	участке
1356.0	секатор
1357.0	опрыскиватель
1358.0	теплица
1359.0	гараж,
1360.0	культиватор
1361.0	шланг
1362.0	участок
1363.0	триммер
1364.0	шланг
1365.0	газонокосилка
1366.0	бочка
1367.0	лопата
1368.0	мойка
1369.0	насос
1370.0	петля
1371.0	доводчик
1372.0	квартира,
1373.0	двери
1374.0	гантели
1375.0	замок
1376.0	гараж,
1377.0	дверь
1378.0	ванна
1379.0	тумба
1380.0	бочка
1381.0	смеситель
1382.0	труба
1383.0	бак
1384.0	фитинги
1385.0	насос
1386.0	клапан
1387.0	раковина
1388.0	кран
1389.0	септик
1390.0	мойка
1391.0	смеситель
1392.0	унитаз
1393.0	квартира,
1394.0	квартира,
1395.0	дом
1396.0	квартира,
1397.0	участке
1398.0	полотенцесушитель
1399.0	воды
1400.0	водонагреватель
1401.0	кабель
1402.0	задвижка
1403.0	сетки
1404.0	окон
1405.0	окно
1406.0	участке
1407.0	квартира,
1408.0	квартира,
1409.0	квартира,
1410.0	квартира,
1411.0	окно
1412.0	участке
1413.0	ковер
1414.0	полотенца
1415.0	скатерть
1416.0	постельное
1417.0	ковер
1418.0	подушки
1419.0	кровать
1420.0	квартира,
1421.0	плед
1422.0	квартира,
1423.0	квартира,
1424.0	квартира,
1425.0	одеяло
1426.0	салфетка
1427.0	стол
1428.0	кухонный
1429.0	квартира,
1430.0	квартира,
1431.0	диван
1432.0	диван
1433.0	матрас
1434.0	диван
1435.0	квартир
1436.0	кресло
1437.0	кровать
1438.0	шезлонг
1439.0	кровать
1440.0	кресло
1441.0	пуфик
1442.0	кресло
1443.0	диван
1444.0	диван
1445.0	кресло
1446.0	раскладушка
1447.0	диван
1448.0	диван
1449.0	квартира,
1450.0	стол
1451.0	кресло
1452.0	тумба
1453.0	обуви
1454.0	дисков
1455.0	стол
1456.0	обувница
1457.0	тумба
1458.0	телевизор
1459.0	подставка
1460.0	тумба
1461.0	лампа
1462.0	ночник
1463.0	торшер
1464.0	люстра
1465.0	лампа
1466.0	люстра
1467.0	лента
1468.0	люстра
1469.0	люстра
1470.0	прожектор
1471.0	проектор
1472.0	светильник
1473.0	лампа
1474.0	светильник
1475.0	лампа
1476.0	mp
1477.0	люстра
1478.0	гирлянда
1479.0	люстра
1480.0	лампа
1481.0	шкаф
1482.0	витрина
1483.0	прихожая
1484.0	шкаф
1485.0	комод
1486.0	шкаф
1487.0	шкаф
1488.0	шкаф
1489.0	шкаф
1490.0	квартира,
1491.0	трюмо
1492.0	продаже
1493.0	кованная
1494.0	зеркало
1495.0	платье
1496.0	вешалка
1497.0	квартира,
1498.0	корзина
1499.0	жалюзи
1500.0	вешалки
1501.0	квартира,
1502.0	трюмо
1503.0	доска
1504.0	матрас
1505.0	сушилка
1506.0	шкаф
1507.0	печь
1508.0	сейф
1509.0	подставка
1510.0	качели
1511.0	стеллаж
1512.0	ручки
1513.0	карниз
1514.0	квартира,
1515.0	чугунная
1516.0	участке
1517.0	полка
1518.0	ящик
1519.0	столик
1520.0	корона,
1521.0	сундук
1522.0	вешалка
1523.0	стойка
1524.0	шкатулка
1525.0	полка
1526.0	квартира,
1527.0	стол
1528.0	стулья
1529.0	стул
1530.0	стол
1531.0	стол
1532.0	косметологическая
1533.0	столик
1534.0	кухонный
1535.0	стул
1536.0	стол
1537.0	стул
1538.0	стол
1539.0	стол
1540.0	подставка
1541.0	квартира,
1542.0	статуэтка
1543.0	картина
1544.0	бюст
1545.0	статуэтка
1546.0	маска
1547.0	шар
1548.0	роза
1549.0	бюст
1550.0	картина
1551.0	тарелка
1552.0	корзина
1553.0	свечи
1554.0	топиарий
1555.0	самовар
1556.0	слон
1557.0	картина
1558.0	картина
1559.0	икона
1560.0	статуэтка
1561.0	квартира,
1562.0	картина
1563.0	статуэтка
1564.0	картина
1565.0	картина
1566.0	картина
1567.0	продам
1568.0	продам
1569.0	снов
1570.0	статуэтка
1571.0	пепельница
1572.0	картина
1573.0	сердце
1574.0	статуэтка
1575.0	шкурки
1576.0	картина
1577.0	тарелка
1578.0	кукла
1579.0	картина
1580.0	яйцо
1581.0	статуэтка
1582.0	рога
1583.0	матрёшка
1584.0	герб
1585.0	папирус
1586.0	литье
1587.0	череп
1588.0	картина
1589.0	пеленка
1590.0	фонтан
1591.0	статуэтка
1592.0	мельница
1593.0	мобиль
1594.0	медведь
1595.0	кандилябр
1596.0	часы
1597.0	подсвечник
1598.0	бутылка
1599.0	бисера
1600.0	подковы
1601.0	ваза
1602.0	рамка
1603.0	чучело
1604.0	венок
1605.0	шкатулка
1606.0	статуэтка
1607.0	кукла
1608.0	гиря
1609.0	статуэтка
1610.0	картина
1611.0	х
1612.0	часы
1613.0	картина
1614.0	рога
1615.0	ракушки
1616.0	веер
1617.0	зеркало
1618.0	чернильница
1619.0	салфетка
1620.0	блюдо
1621.0	бокалы
1622.0	сервиз
1623.0	набор
1624.0	посуда
1625.0	набор
1626.0	кружки
1627.0	нож
